===== Quantile Regression (tau = 0.90) =====
Formel: `log GROSS P/Y` ~ `Def(GCA)/90` + S04_Dummy + Wolfsburg_Dummy + 
Formel:     Munich_Dummy + weak_Dummy + paderborn_Dummy + Gladbach_Dummy + 
Formel:     Freiburg_Dummy + `PKcon/90` + `CK_st/90` + `TO(GCA)/90` + 
Formel:     Arminia_Dummy + Stuttgart_Dummy + `BEL-Lux_Dummy` + Bayer04_Dummy + 
Formel:     `xG+xAG/90` + TSG_Dummy + `TB/90` + `South/latinamerica_Dummy` + 
Formel:     Greuther_Dummy + Frankfurt_Dummy + British_Dummy + Düsseldorf_Dummy + 
Formel:     `PassLive(GCA)/90` + SUI_Dummy + `GCA-90_D` + Heidenheim_Dummy + 
Formel:     `G-xG/90` + Balkan_Dummy + Hertha_Dummy + NED_Dummy + Union_Dummy + 
Formel:     Skandinavia_Dummy + `Err/90` + `Def(GCA)` + Mainz_Dummy + 
Formel:     Age + `remaining contract term` + Iberia_Dummy + Afrika_Dummy + 
Formel:     Bremen_Dummy + FRA_Dummy + `TO/90` + Num_Pos + BVB_Dummy + 
Formel:     Asia_Dummy + `geTKLW%` + `Subs/90` + `GCA-90_M` + `On-Off(Teamsuc)` + 
Formel:     `Gls/90_M` + `Dis/90` + CK_st + `CPA/90` + `A-xAG/90` + `PPA/90` + 
Formel:     `Fld(GCA)` + unSub + `Tkld take ons/90` + `Def/90` + USA_Dummy + 
Formel:     `PassDead(GCA)/90` + `Sw/90` + `Mis/90` + `Offside/90` + 
Formel:     `xAG/90` + Fld + `TO(GCA)` + `carries 1/3/90` + `contract lenght` + 
Formel:     `Mit, 1/3/90` + Err + `Sh(SCA)` + `Crs/90` + `Def, 1/3/90` + 
Formel:     `aerials lost/90` + `PrgP/90` + `On-Off(Teamsuc xG)` + `Sh (Blocks)_D` + 
Formel:     `Succ_Take-ons` + `Cmpl%` + `Cmp_short%` + Sw + `Mn/Start` + 
Formel:     CrdY + `Dist (Sh)` + `Mn/Sub` + `np:G-xG` + `Cmp_long%` + 
Formel:     FK + `Att Pen(Tou)` + `Att 3rd (Tou)/90` + PK + `Tkl (Ch)` + 
Formel:     `xG+/-` + `aerials%` + `Crs (Perf)/90` + `Def, 1/3` + `Pass (Blocks)` + 
Formel:     `2CrdY` + `Tkl+Int_M` + `+/-` + `Pass (Blocks)/90` + `Sh(Blocks)` + 
Formel:     `TotDist(Car)/90` + `aerials won...338` + TI + `Cmp%_M` + 
Formel:     `Tkld%` + `Mid 3rd (Tou)` + `SoT%` + `aerials lost` + `aerials won...337` + 
Formel:     `Cmp_medium%` + `Insta Seasonstart` + `Insta after Season` + 
Formel:     Agex2
SE: bootstrap (R = 1000)
Signif. codes:  0 '***' 0.001 '**' 0.01 '*' 0.05 '.' 0.1 '' 1

Term	Estimate	Std. Error	t value	Pr(>|t|)	tau	Stars
CK_st	 0.066198	 0.124568	 0.53142	0.59519	0.9	
`geTKLW%`	 0.083879	 0.166045	 0.50516	0.61350	0.9	
`PrgP/90`	-0.010866	 0.023238	-0.46762	0.64010	0.9	
`aerials won...338`	-0.011104	 0.025006	-0.44404	0.65706	0.9	
`BEL-Lux_Dummy`	 0.044994	 0.108610	 0.41427	0.67872	0.9	
`Mit, 1/3/90`	 0.026026	 0.063414	 0.41042	0.68154	0.9	
`A-xAG/90`	-0.115753	 0.291717	-0.39680	0.69156	0.9	
`np:G-xG`	 0.010472	 0.027971	 0.37437	0.70817	0.9	
Afrika_Dummy	 0.033786	 0.093097	 0.36291	0.71671	0.9	
`GCA-90_D`	 0.091465	 0.267221	 0.34228	0.73217	0.9	
`Pass (Blocks)/90`	 0.028532	 0.084114	 0.33920	0.73449	0.9	
`Tkl (Ch)`	-0.001802	 0.005750	-0.31339	0.75402	0.9	
`Err/90`	 0.172851	 0.564980	 0.30594	0.75968	0.9	
`G-xG/90`	-0.096939	 0.334965	-0.28940	0.77231	0.9	
`2CrdY`	 0.000604	 0.002321	 0.26040	0.79458	0.9	
Hertha_Dummy	-0.036660	 0.142150	-0.25790	0.79651	0.9	
`Dist (Sh)`	-0.001750	 0.007223	-0.24233	0.80855	0.9	
`Mid 3rd (Tou)`	 0.000052	 0.000233	 0.22285	0.82367	0.9	
`aerials won...337`	-0.000407	 0.001892	-0.21508	0.82973	0.9	
SUI_Dummy	 0.020377	 0.098281	 0.20734	0.83577	0.9	
`Fld(GCA)`	 0.007916	 0.039929	 0.19825	0.84287	0.9	
`Insta after Season`	 0.000000	 0.000000	 0.19655	0.84420	0.9	
`Gls/90_M`	-0.063962	 0.331038	-0.19322	0.84681	0.9	
`PassDead(GCA)/90`	-0.100694	 0.550407	-0.18294	0.85486	0.9	
`Sh (Blocks)_D`	-0.002377	 0.014566	-0.16321	0.87037	0.9	
`Cmp_medium%`	 0.000624	 0.004165	 0.14979	0.88094	0.9	
`Sw/90`	 0.011533	 0.091910	 0.12548	0.90016	0.9	
`CK_st/90`	 0.220823	 1.864606	 0.11843	0.90574	0.9	
Bayer04_Dummy	 0.014093	 0.123136	 0.11445	0.90889	0.9	
CrdY	-0.001043	 0.010116	-0.10309	0.91790	0.9	
`carries 1/3/90`	 0.004289	 0.043619	 0.09834	0.92167	0.9	
NED_Dummy	 0.012015	 0.126303	 0.09513	0.92422	0.9	
TI	-0.000060	 0.000696	-0.08689	0.93077	0.9	
`Def, 1/3`	-0.000533	 0.006145	-0.08675	0.93088	0.9	
`TO(GCA)`	-0.003787	 0.061820	-0.06125	0.95117	0.9	
Asia_Dummy	-0.004939	 0.096474	-0.05119	0.95918	0.9	
British_Dummy	 0.011021	 0.268604	 0.04103	0.96728	0.9	
`TotDist(Car)/90`	-0.000003	 0.000242	-0.01401	0.98882	0.9	
`Def, 1/3/90`	 0.000381	 0.061813	 0.00616	0.99509	0.9	
